GroupID,GroupName,Weekday,Friday,Saturday,Sunday,Special,Flextime1,Flextime2,Flextime3,Flextime4,Flextime5,TSD_SET1,TSD_SET2,TSD_SET3
18,그룹 18,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,0||,0||,0||
30,그룹 30,05:00|140|1;07:00|150|1;10:00|140|1;18:00|150|1;21:00|140|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:00|140|1;07:00|150|1;10:00|140|1;13:00|150|1;21:00|140|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:00|140|1;07:00|150|1;10:00|140|1;13:00|150|1;21:00|140|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:00|140|1;07:00|150|1;10:00|140|1;13:00|150|1;21:00|140|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:00|140|1;07:00|150|1;10:00|140|1;18:00|150|1;21:00|140|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:00|140|1;07:00|150|1;10:00|140|1;13:00|150|1;21:00|140|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:00|140|1;07:00|150|1;10:00|140|1;13:00|150|1;21:00|140|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:00|140|1;07:00|150|1;10:00|140|1;13:00|150|1;21:00|140|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,0||,0||,0||
31,그룹 31,00:00|60|1;06:00|70|1;07:00|80|1;10:00|80|1;18:00|80|1;22:00|70|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|60|1;06:00|70|1;07:00|80|1;10:00|90|1;13:00|90|1;22:00|70|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|60|1;06:00|70|1;07:00|80|1;10:00|90|1;18:00|90|1;22:00|70|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|60|1;06:00|70|1;07:00|80|1;10:00|90|1;18:00|90|1;22:00|70|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|60|1;06:00|70|1;07:00|80|1;10:00|80|1;18:00|80|1;22:00|70|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|60|1;06:00|70|1;07:00|80|1;10:00|90|1;13:00|90|1;22:00|70|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|60|1;06:00|70|1;07:00|80|1;10:00|90|1;18:00|90|1;22:00|70|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|60|1;06:00|70|1;07:00|80|1;10:00|90|1;18:00|90|1;22:00|70|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,0||,0||,0||
37,그룹 37,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,0||,0||,0||
39,그룹 39,00:00|90|1;06:00|100|1;10:00|100|1;18:00|100|1;22:00|90|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|90|1;06:00|100|1;10:00|100|1;13:00|100|1;22:00|90|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|90|1;06:00|100|1;10:00|100|1;18:00|100|1;22:00|90|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|90|1;06:00|100|1;10:00|100|1;18:00|100|1;22:00|90|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|90|1;06:00|100|1;10:00|100|1;18:00|100|1;22:00|90|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|90|1;06:00|100|1;10:00|100|1;13:00|100|1;22:00|90|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|90|1;06:00|100|1;10:00|100|1;18:00|100|1;22:00|90|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|90|1;06:00|100|1;10:00|100|1;18:00|100|1;22:00|90|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,0||,0||,0||
40,그룹 40,05:00|190|1;06:30|210|1;12:00|210|1;18:00|210|1;22:00|180|1;23:00|170|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:30|190|1;07:00|210|1;12:00|210|1;18:00|210|1;22:00|180|1;23:00|170|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:30|190|1;07:00|210|1;12:00|210|1;18:00|210|1;22:00|180|1;23:00|170|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:30|190|1;07:00|210|1;12:00|210|1;18:00|210|1;22:00|180|1;23:00|170|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:00|190|1;06:30|210|1;12:00|210|1;18:00|210|1;22:00|180|1;23:00|170|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:30|190|1;07:00|210|1;12:00|210|1;18:00|210|1;22:00|180|1;23:00|170|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:30|190|1;07:00|210|1;12:00|210|1;18:00|210|1;22:00|180|1;23:00|170|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,05:30|190|1;07:00|210|1;12:00|210|1;18:00|210|1;22:00|180|1;23:00|170|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,0||,0||,0||
45,그룹 45,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,0||,0||,0||
46,그룹 46,01:00|110|1;05:30|120|1;06:30|140|1;10:00|120|1;17:00|140|1;22:00|120|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,01:00|110|1;05:30|120|1;08:00|140|1;10:00|130|1;17:00|140|1;22:00|120|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,01:00|110|1;05:30|120|1;08:00|140|1;10:00|130|1;17:00|140|1;22:00|120|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,01:00|110|1;05:30|120|1;08:00|140|1;10:00|130|1;17:00|140|1;22:00|120|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,01:00|110|1;05:30|120|1;06:30|140|1;10:00|120|1;17:00|140|1;22:00|120|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,01:00|110|1;05:30|120|1;08:00|140|1;10:00|130|1;17:00|140|1;22:00|120|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,01:00|110|1;05:30|120|1;08:00|140|1;10:00|130|1;17:00|140|1;22:00|120|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,01:00|110|1;05:30|120|1;08:00|140|1;10:00|130|1;17:00|140|1;22:00|120|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,0||,0||,0||
47,그룹 47,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,0||,0||,0||
48,그룹 48,00:00|80|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|80|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|80|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|80|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|80|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|80|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|80|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,00:00|80|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1;-1|100|1,0||,0||,0||
