ID,Name,Lat,Lng,Seq,Police,Office,GroupID,FlashCfg,OpIntervention,ArrowConfigs,Controller,DiagramOrder,Weekly_plan
"krd-10","이촌역앞","37.523197120","126.971325400","1","용산","용산","231","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-11","이촌역앞(연등)","37.523071840","126.972151200","1","용산","용산","231","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-20","왕십리역앞","37.561264020","127.037823700","2","성동","성동","398","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-30","하왕십리풍림아파트","37.557935480","127.024271600","3","중부","중부","267","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-31","하왕십리풍림아파트(연등)","37.558886420","127.023735400","3","중부","중부","267","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-40","월곡초교","37.610133930","127.047762500","4","종암","종암","1791","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-50","석관중","37.607215960","127.066001300","5","종암","종암","320","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-51","석관중(연등)","37.605895030","127.066614900","5","종암","종암","320","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-60","석관펌프장","37.613602860","127.065871000","6","종암","종암","274","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-61","석관펌프장(연등)","37.613774330","127.065225000","6","종암","종암","274","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-70","국민은행석관","37.609058930","127.058871600","7","종암","종암","322","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-71","국민은행석관(연등)","37.608279190","127.059685600","7","종암","종암","322","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-80","사대부중","37.595779550","127.038371000","8","종암","종암","363","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-550","e편한세상신촌401동","37.558934150","126.956502800","55","서대문","서대문","344","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-551","e편한세상신촌401동(연등)1","37.559348230","126.956627500","55","서대문","서대문","344","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-552","e편한세상신촌401동(연등)2","37.558540640","126.956447400","55","서대문","서대문","344","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-553","e편한세상신촌401동(연등)3","37.557929800","126.956331300","55","서대문","서대문","344","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-920","광장중학교","37.546804570","127.102205500","92","광진","광진","1651","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-1060","전동중교앞","37.584903810","127.072000400","106","동대문","동대문","354","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-1110","현대빌딩본관","37.577355410","126.987998600","111","종로","종로","530","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-1130","마장진출램프","37.572199730","127.035020000","113","동대문","동대문","1877","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-1200","답십리1동","37.566073460","127.055578100","120","동대문","동대문","1844","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-1360","아리랑고개","37.600865050","127.014068100","136","성북","성북","633","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-1361","아리랑고개(연등)","37.600613480","127.014931200","136","성북","성북","633","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-1410","남정초교","37.536813170","126.964065400","141","용산","용산","314","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-1470","창4동주민센터","37.652399000","127.051128300","147","도봉","도봉","1921","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-1500","서울디자인지원센터","37.572836830","127.007642900","150","혜화","혜화","523","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-1510","이화사거리","37.576192850","127.002212700","151","혜화","혜화","1386","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-1520","한마루교회","37.601546240","127.076389500","152","중랑","중랑","325","0|||","0|","","","-1","1;1;1;1;1;2;3"
"krd-1530","돈암초교정문","37.593503840","127.011902900","153","성북","성북","1657","0|||","0|","","","-1","1;1;1;1;1;2;3"
