id,region_cd,name,lat,lng,seq,police,office,group_id,arrow_configs,controller,diagram_order,weekly_plan,created_at,updated_at,api_int_no
"L02-1008","L02","신흥현대입구","37.457751","126.63308","1008","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:25:27.332251+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1009","L02","동인천역","37.475206","126.631193","1009","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:25:27.332251+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1010","L02","배다리사거리","37.472732","126.6352","1010","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:25:27.332251+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1011","L02","유동삼거리","37.470999","126.637212","1011","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1012","L02","도원사거리","37.468746","126.641721","1012","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1013","L02","수인4거리","37.464939","126.633888","1013","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1014","L02","선광싸이로사거리","37.451376","126.61965","1014","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1015","L02","신흥풍림입구","37.465759","126.630708","1015","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1016","L02","인천역4거리","37.475234","126.617494","1016","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1017","L02","중구청입구사거리","37.472097","126.620386","1017","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1018","L02","인천일보","37.471356","126.619632","1018","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1019","L02","신포4거리","37.470165","126.623899","1019","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1020","L02","1부두입구","37.469345","126.62318","1020","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1021","L02","사동3거리","37.467955","126.625237","1021","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1022","L02","답동4거리","37.470137","126.627564","1022","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1023","L02","경동4거리","37.47229","126.629073","1023","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1024","L02","해수청","37.460604","126.631553","1024","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1025","L02","수검4거리","37.453594","126.627196","1025","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1026","L02","서해4거리","37.449486","126.6246","1026","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
